Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
The Evolutionary Basis of Meaning in Music: Some Neurological and Neuroscientific Implications	https://www.researchgate.net/profile/Ian_Cross/publication/265286648_The_Evolutionary_Basis_of_Meaning_in_Music_Some_Neurological_and_Neuroscientific_Implications/links/54db3bd10cf261ce15cf8b85/The-Evolutionary-Basis-of-Meaning-in-Music-Some-Neurological-and-Neuroscientific-Implications.pdf?_sg%5B0%5D=FzW4vqx9cO1lreD10uP-YW_JgDayPCP9MWH01ZPvuLPAIKjXSCTswC3zGYWuFPy8gsI9Si3pNV6tx06fWrTSbw.5-hpZCvmF6rHRx48ExGPop0u7lqFipvg4OsDQPU8D9-qRy8W0dS5czsIOdB4jT3GrCmwhY0n7nxffpWmY5uBgQ&_sg%5B1%5D=5ifXZjUhaGsTcxn2BOBRbY5sXUaKnFELDtMZABKLz_MgCyV-uKAwASuSwMvERLCjhK51KFwPvqK-s2cr9w7INZWK6Mw55g9cACifRWwdevT_.5-hpZCvmF6rHRx48ExGPop0u7lqFipvg4OsDQPU8D9-qRy8W0dS5czsIOdB4jT3GrCmwhY0n7nxffpWmY5uBgQ&_iepl=	papers	music	neuroscience												
Music in the Castle of Heaven	https://www.theguardian.com/books/2013/oct/30/music-castle-heaven-js-bach-john-eliot-gardiner	books	music	bach												
THEORY OF HARMONY	https://monoskop.org/images/8/84/Schoenberg_Arnold_Theory_of_Harmony_1983.pdf	textbooks	music	harmony												
Structural functions of harmony	https://www.opusklassiek.nl/componisten/Schoenberg_Arnold_Structural_Functions_of_Harmony.pdf	textbooks	music	harmony												
The study of Counterpoint	https://avserzhen.files.wordpress.com/2016/06/fux-jjthe-study-of-counterpoint-alfred-mann-trans.pdf	textbooks	music													
COLLAPSE: HOW SOCIETIES CHOOSE TO FAIL OR SUCCEED	https://uniteyouthdublin.files.wordpress.com/2015/01/collapse-jared-diamond.pdf	books	sociology	politics	history											
THE POETICS OF MUSIC in the form of six lessons	https://monoskop.org/images/6/64/Stravinsky_Igor_Poetics_of_Music_in_the_Form_of_Six_Lessons.pdf	books	music													
The Collapse of Complex Societies	https://wtf.tw/ref/tainter.pdf	books	sociology	politics	history											
Limit to Growth	http://www.peakoilindia.org/wp-content/uploads/2013/10/Limits-to-Growth-updated.pdf	books	economics													
Fundamentals of Musical Composition	https://monoskop.org/images/d/da/Schoenberg_Arnold_Fundamentals_of_Musical_Composition_no_OCR.pdf	books	music													
LE LEGGI FONDAMENTALI DELLA STUPIDITÀ UMANA	http://www.giovis.com/cipolla.htm	websites	human-stupidity													
The Age of Extremes: The Short Twentieth Century, 1914–1991	https://libcom.org/files/Eric%20Hobsbawm%20-%20Age%20Of%20Extremes%20-%201914-1991.pdf	books	history													
Social History Of Art Vol I	https://ia600301.us.archive.org/32/items/ArnoldHauserSocialHistoryOfArtVolI/%5BArnold_Hauser%5D_Social_History_of_Art_vol_I.pdf	books	history	art												
Social History Of Art Vol II	https://ia800307.us.archive.org/12/items/ArnoldHauserSocialHistoryOfArtVolII/%5BArnold_Hauser%5D_Social_History_of_Art_vol_II.pdf	books	history	art												
Social History Of Art Vol III	https://ia600302.us.archive.org/25/items/ArnoldHauserSocialHistoryOfArtVolIII/%5BArnold_Hauser%5D_Social_History_of_art_vol_III.pdf	books	history	art												
Social History Of Art Vol IV	https://ia802601.us.archive.org/0/items/ArnoldHauserSocialHistoryOfArtVolIV/%5BArnold_Hauser%5D_Social_History_of_Art_vol_IV.pdf	books	history	art												
The Society of Mind	http://www.acad.bg/ebook/ml/Society%20of%20Mind.pdf	artificial-intelligence	cognitive-science													
A History Of Western Philosophy	http://www.ntslibrary.com/PDF%20Books/History%20of%20Western%20Philosophy.pdf	books	philosophy													
Ciro Santilli's website	http://www.cirosantilli.com/	websites	software-engineering	computer-programming												
The Art of Assembly Language	https://www.ic.unicamp.br/~pannain/mc404/aulas/pdfs/Art%20Of%20Intel%20x86%20Assembly.pdf	textbooks	computer-programming	assembly												
Intel® 64 and IA-32 Architectures Software Developer’s Manual - Vol. I	https://www.intel.com/content/dam/www/public/us/en/documents/manuals/64-ia-32-architectures-software-developer-vol-1-manual.pdf	textbooks	intel	assembly	computer-architecture	computer-programming										
STRUCTURED COMPUTER ORGANIZATION	https://universalflowuniversity.com/Books/Computer%20Programming/Computers,%20Architecture%20and%20Design/Structured%20Computer%20Organization%206th%20Edition.pdf	textbooks	computer-architecture													
Computer Organization and Design: The Hardware/Software Interface	http://www4.comp.polyu.edu.hk/~comp2421/ComputerOrganizationAndDesign5thEdition2014.pdf	textbooks	computer-architecture													
Il giornalista hacker - Piccola guida per un uso sicuro e consapevole della tecnologia	http://www.icborgosangiacomo.gov.it/000/sites/default/files/000_PNSD/Il_giornalista_hacker.pdf	books	hacking													
Linux System Programming	https://moodle2.units.it/pluginfile.php/110718/mod_resource/content/2/Linux%20System%20Programming%2C%202nd%20Edition.pdf	textbooks	linux	computer-programming	operating-systems											
Running Linux	https://the-eye.eu/public/Books/IT%20Various/running_linux_5th_edition.pdf	textbooks	linux													
The Linux Cookbook: Tips and Techniques for Everyday Use	http://www2.pv.infn.it/sc/linux/CookBook.pdf	textbooks	operating-systems	linux												
Windows Internals Part 1	http://materias.fi.uba.ar/7508/WI6/Windows%20Internals%20Part%201%20(6th%20Edition).pdf	textbooks	operating-systems	windows												
Windows Internals Part 2	http://materias.fi.uba.ar/7508/WI6/Windows%20Internals%20Part%202_6th%20Edition.pdf	textbooks	operating-systems	windows												
Operating Systems: Three Easy Pieces	http://pages.cs.wisc.edu/~remzi/OSTEP/	textbooks	operating-systems													
CS:APP3e Web Asides	http://csapp.cs.cmu.edu/3e/waside.html	readings	operating-systems													
Computer Systems: A Programmer’s Perspective	http://www.codeman.net/wp-content/uploads/2011/12/Computer_Systems-A_Programmers_Perspective-2e.pdf	textbooks	computer-programming	computer-architecture	operating-systems											
Parallel Computer Architecture - A Hardware / Software Approach	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.101.4418&rep=rep1&type=pdf	textbooks	computer-architecture	operating-systems												
ZERO TO ONE	http://gsl.mit.edu/media/programs/south-africa-summer-2015/materials/0to1.pdf	books	business	politics	startups											
Untangling the web: A guide to Internet Research	https://www.governmentattic.org/8docs/UntanglingTheWeb-NSA_2007.pdf															
Unix Systems for Modern Architectures	https://www.linuxjournal.com/article/34	textbooks	operating-systems													
Handmade Electronic Music	http://loliel.narod.ru/DIY.pdf	textbooks	hacking	music	electronics											
Make: Zero to Maker	https://www.zerotomaker.com/	textbooks	hardware	electronics	maker											
Physical Computing: Sensing and Controlling the Physical World with Computers	https://www.hangar.org/docs/docs_lab/PhysicalColmputing.pdf	textbooks	physics													
Ten Simple Rules for Taking Advantage of Git and GitHub	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4945047/	papers	git	github												
Design Patterns in Separation Logic	https://www.cl.cam.ac.uk/~nk480/design-patterns-tldi09.pdf	papers	design-patterns	logic												
Functional Logic Design Patterns	https://www.informatik.uni-kiel.de/~mh/papers/FLOPS02.pdf	papers	design-patterns	logic												
Digital Audio Signal Processing	http://ultra.sdk.free.fr/docs/DxO/%5BDSP%20-%20audio%5D%20-%20Digital%20Audio%20Signal%20Processing%20-%20Zolzer.pdf	textbooks	signal-processing	music												
Intellectual Property - LAW & THE INFORMATION SOCIETY	http://law.duke.edu/cspd/pdf/IPCasebook2014.pdf	textbooks	intellectual-property													
COMPUTER NETWORKING A Top-Down Approach	https://www.bau.edu.jo/UserPortal/UserProfile/PostsAttach/10617_1870_1.pdf	textbooks	communications	networking	computer-networking											
Computability and Complexity From a Programming Perspective	http://hjemmesider.diku.dk/~neil/comp2book2007/book-whole.pdf	textbooks	complexity-theory	computability-theory	computer-programming											
The C++ Programming Language	https://is.muni.cz/www/408176/38744863/The_C__Programming_Language__Stroustrup_.pdf	textbooks	c++	computer-programming												
The Millionaire Next Door	https://davidbeitler.com/temp/The%20Millionaire%20Next%20Door%20%5BBook%5D-MANTESH.PDF.pdf	books	wealth	investments												
What Assets Make Up Wealth?	http://www.visualcapitalist.com/chart-assets-make-wealth/	websites	wealth	investments												
On the contribution of neural networks and word embeddings in Natural Language Processing	https://medium.com/@josecamachocollados/on-the-contribution-of-neural-networks-and-word-embeddings-in-natural-language-processing-c8bb1b85c61c	readings	natural-language-processing													
Essential Cheat Sheets for Machine Learning and Deep Learning Engineers	https://startupsventurecapital.com/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5	readings	cheatsheets	machine-learning	deep-learning	python										
Is AlphaZero really a scientific breakthrough in AI?	https://medium.com/@josecamachocollados/is-alphazero-really-a-scientific-breakthrough-in-ai-bf66ae1c84f2	readings	artificial-intelligence	reinforcement-learning												
Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm	https://arxiv.org/pdf/1712.01815.pdf	papers	reinforcement-learning	chess												
24 Cognitive Biases stuffing up your thinking	https://www.yourbias.is/	websites	logic	logical-fallacies	cognitive-biases											
Mental Models I Find Repeatedly Useful	https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d	readings	psychology	logic	logical-fallacies											
The Seven Habits Of Highly Effective People	http://www.stafforini.com/docs/Covey%20-%20The%207%20habits%20of%20highly%20effective%20people.pdf	books	self-improving	business												
PyFormat	https://pyformat.info/	websites	python													
Artificial intelligence pioneer says we need to start over	https://www.axios.com/artificial-intelligence-pioneer-says-we-need-to-start-over-1513305524-f619efbd-9db0-4947-a9b2-7a4c310a28fe.html	readings	artificial-intelligence	deep-learning												
Learning Math for Machine Learning	https://blog.ycombinator.com/learning-math-for-machine-learning/	readings	machine-learning	mathematics												
VIP cheatsheets	https://stanford.edu/~shervine/teaching/cs-229.html	websites	machine-learning	deep-learning	mathematics	cheatsheets										
The Off-Switch Game	https://arxiv.org/pdf/1611.08219.pdf	papers	artificial-intelligence	reinforcement-learning	ai-safety											
AI Safety Gridworlds	https://arxiv.org/pdf/1711.09883.pdf	papers	artificial-intelligence	ai-safety												
Concrete Problems in AI Safety	https://arxiv.org/pdf/1606.06565.pdf	papers	artificial-intelligence	ai-safety												
Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning	http://www-anw.cs.umass.edu/~barto/courses/cs687/Sutton-Precup-Singh-AIJ99.pdf	papers	reinforcement-learning	options-rl												
Learning Options in Reinforcement Learning	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.14.2402&rep=rep1&type=pdf	papers	reinforcement-learning	options-rl												
Monte Carlo Tree Search with Options for General Video Game Playing	https://esc.fnwi.uva.nl/thesis/centraal/files/f1354764450.pdf	thesis	reinforcement-learning	options-rl												
Transfer Learning for Reinforcement Learning Domains: A Survey	http://www.jmlr.org/papers/volume10/taylor09a/taylor09a.pdf	papers	reinforcement-learning	transfer-learning												
Curriculum Learning	https://ronan.collobert.com/pub/matos/2009_curriculum_icml.pdf	papers	machine-learning													
The Real Reason to be Afraid of Artificial Intelligence	https://www.youtube.com/watch?v=TRzBk_KuIaM	ted	artificial-intelligence	ai-safety												
The 0–1 Knapsack Problem: An Introductory Survey	https://pdfs.semanticscholar.org/6bd6/2e0ba7233c5086fe4b9061926d191894714b.pdf	papers	algorithms													
x86asm.net	http://x86asm.net/	websites	assembly	computer-programming	operating-systems	hardware										
Creating a vDSO: the Colonel's Other Chicken	https://www.linuxjournal.com/content/creating-vdso-colonels-other-chicken	readings	assembly	computer-programming	operating-systems											
C++ Tutorial - Libraries - 2018	https://www.bogotobogo.com/cplusplus/libraries.php	readings	c++	computer-programming												
Executable Formats, Program Startup and Binary Manipulation	https://www.diag.uniroma1.it/~pellegrini/didattica/2014/aosv/elf-2015.pdf	readings	operating-systems													
Seminar on ELF and code instrumentation	http://www.dis.uniroma1.it/pub/quaglia/seminario-elf-2010.pdf	websites	assembly	computer-programming	operating-systems	hardware										
The missing link: explaining ELF static linking, semantically	http://dominic-mulligan.co.uk/wp-content/uploads/2011/08/oopsla-elf-linking-2016.pdf	papers	computer-architecture	computer-programming	operating-systems	hardware										
How do I learn C++ completely?	http://qr.ae/TUG8uk	readings	c++	computer-programming												
Learning C++ Best Practices	http://shop.oreilly.com/product/0636920049814.do	textbooks	c++	computer-programming	best-practices											
cppbestpractices	https://legacy.gitbook.com/book/lefticus/cpp-best-practices/details	textbooks	c++	computer-programming	best-practices											
How To Write Shared Libraries	https://www.akkadia.org/drepper/dsohowto.pdf	readings	c++	computer-programming	best-practices											
What is the most sophisticated piece of software/code ever written?	http://qr.ae/TUG1Dl	readings	computer-security	hacking	malware											
Why It’s No Longer Possible for Any Country to Win a War	http://time.com/4826856/russia-trump-north-korea-china-war/	readings	politics													
Karp's 21 NP-complete problems	https://en.wikipedia.org/wiki/Karp%27s_21_NP-complete_problems	readings	computer-science	complexity-theory												
Sapiens - A Brief History of Humankind	http://www.101books.ru/carte/descarca-yuval-noah-harari-a-brief-history-of-humankind-pdf	books	sociology	politics	economics	history										
Homo Deus: A Brief History of Tomorrow	https://readandlaugh.files.wordpress.com/2018/04/homo_deus_a_brief_history_of_tomorrow_pdf.pdf	books	sociology	politics	economics	history										
Yuval Noah Harari on big data, Google and the end of free will	https://www.ft.com/content/50bb4830-6a4c-11e6-ae5b-a7cc5dd5a28c	readings	big-data	economics	sociology	politics	google									
21 Lessons for the 21st Century	http://www.ynharari.com/book/21-lessons/	books	politics	economics	sociology											
Why Technology Favors Tyranny	https://www.theatlantic.com/magazine/archive/2018/10/yuval-noah-harari-technology-tyranny/568330/	readings	politics	economics	sociology	big-data	google									
Tia's CS and Unix Links	https://www.cs.swarthmore.edu/~newhall/unixlinks.html	websites	list	computer-science	cheatsheets											
The UNIX-HATERS Handbook	http://web.mit.edu/~simsong/www/ugh.pdf	books	unix	computer-programming	operating-systems											
Xah Code	http://xahlee.info/index.html	blogs	computer-programming	hacking	mathematics											
ArticleS	http://butunclebob.com/ArticleS	websites	computer-programming	computer-science	software-engineering	software-architecture										
Architectural Patterns Revisited – A Pattern Language	http://www.infosys.tuwien.ac.at/teaching/courses/SWA/docs/ArchitecturalPatterns.pdf	readings	software-engineering	software-architecture	design-patterns											
A Hardware Relaxation Paradigm for Solving NP-Hard Problems	http://www.dcs.gla.ac.uk/~wpc/reports/HwRelaxParadigm-submitted-BCS-IARC.pdf	papers	algorithms	complexity-theory	hardware											
Finite Markov Chains	https://docs.ufpr.br/~lucambio/CE222/1S2014/Kemeny-Snell1976.pdf	textbooks	computer-science	mathematics	probability	markov-chains										
FINITE MARKOV CHAINS and ALGORITHMIC APPLICATIONS	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.24.9739&rep=rep1&type=pdf	textbooks	computer-science	mathematics	markov-chains	probability
Equation of State Calculations by Fast Computing Machines	https://bayes.wustl.edu/Manual/EquationOfState.pdf	papers	algorithms	markov-chains	mathematics	metropolis										
The Metropolis–Hastings algorithm	https://arxiv.org/pdf/1504.01896.pdf	papers	algorithms	markov-chains	mathematics	metropolis										
Algorithms for Reinforcement Learning	https://sites.ualberta.ca/~szepesva/papers/RLAlgsInMDPs.pdf	readings	reinforcement-learning	statistics	machine-learning											
The Markov Chain Monte Carlo Revolution	http://www.ams.org/journals/bull/2009-46-02/S0273-0979-08-01238-X/S0273-0979-08-01238-X.pdf	readings	monte-carlo	mathematics	statistics	proability										
Metacademy	https://metacademy.org/	websites	lists	mathematics	computer-science	machine-learning										
The Continuum Hypothesis By Nancy McGough	http://www.ii.com/math/ch/	websites	mathematics													
Why is the derivative of a circle's area its perimeter (and similarly for spheres)?	https://math.stackexchange.com/questions/625/why-is-the-derivative-of-a-circles-area-its-perimeter-and-similarly-for-sphere	stackexchange	mathematics	calculus												
Pdf of the square of a standard normal random variable	https://stats.stackexchange.com/questions/192807/pdf-of-the-square-of-a-standard-normal-random-variable	stackexchange	mathematics	statistics												
The Universal Computer: The Road from Leibniz to Turing	https://www.routledge.com/The-Universal-Computer-The-Road-from-Leibniz-to-Turing-Third-Edition/Davis/p/book/9781138502086	books	computer-science	logic	mathematics											
CONSISTENCY-PROOF FOR THE GENERALIZED CONTINUUM-HYPOTHESIS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1077751/pdf/pnas01603-0062.pdf	papers	mathematics	logic												
Set Theory and the Continuum Hypothesis	http://store.doverpublications.com/0486469212.html	textbooks	mathematics													
Monte Carlo and quasi-Monte Carlo methods	https://pdfs.semanticscholar.org/85b5/97939f26a4f7a149887e00e83e2f5ba35c8f.pdf	papers	mathematics	statistics	probability											
