Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
Understanding the Linux Network Internals	https://doc.lagout.org/operating%20system%20/linux/Understanding%20Linux%20Network%20Internals.pdf	textbooks	operating-systems	linux												
Understanding the Linux Virtual Memory Manager	https://pdos.csail.mit.edu/~sbw/links/gorman_book.pdf	textbooks	operating-systems	linux												
The Linux Kernel Module Programming Guide	http://tldp.org/LDP/lkmpg/2.6/html/index.html	textbooks	operating-systems	linux												
Linux Kernel Hackers' Guide	http://www.tldp.org/LDP/khg/HyperNews/get/khg.html	textbooks	operating-systems	linux												
Linux Device Drivers	http://www2.electron.frba.utn.edu.ar/~gjoyuela/archivos/linux/ldd3.pdf	textbooks	operating-systems	linux												
What Every Programmer Should Know About Memory	https://people.freebsd.org/~lstewart/articles/cpumemory.pdf	readings	operating-systems	computer-science	computer-programming											
What Every Computer Scientist Should Know About Floating-Point Arithmetic	https://www.itu.dk/~sestoft/bachelor/IEEE754_article.pdf	readings	algorithms	computer-science	computer-programming	numerical-analysis										
On the Effectiveness of Address-Space Randomization	https://benpfaff.org/papers/asrandom.pdf	papers	operating-systems	computer-security												
www.kernel.org	https://www.kernel.org/	websites	operating-systems	linux												
Many but Finite	https://manybutfinite.com/	blogs	computer-science	machine-learning	operating-systems	computer-security										
Linux Kernel in a Nutshell	https://www.carbon-project.org/debianforum/Greg_Kroah-Hartman_-_Linux_Kernel_in_a_Nutshell.pdf	textbooks	operating-systems	linux												
developerWorks Linux resources	https://www.ibm.com/developerworks/learn/linux/index.html	websites	operating-systems	linux												
Human-level control through deep reinforcement learning	https://web.stanford.edu/class/psych209/Readings/MnihEtAlHassibis15NatureControlDeepRL.pdf	papers	reinforcement-learning	deep-learning												
Mastering the Game of Go without Human Knowledge	https://deepmind.com/documents/119/agz_unformatted_nature.pdf	papers	reinforcement-learning	deep-learning												
Speech Language Processing	https://web.stanford.edu/~jurafsky/slp3/ed3book.pdf	textbooks	natural-language-processing													
A Mathematical Theory of Communication	http://math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf	papers	information-theory	mathematics												
A fast learning algorithm for deep belief nets	https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf	papers	deep-learning	machine-learning												
Approximate Nearest Neighbor Queries in Fixed Dimensions	https://www.cs.umd.edu/~mount/Papers/soda93-ann.pdf	papers	algorithms													
Vitalik Buterin's website	https://vitalik.ca/	websites	blockchain	cryptocurrency	distributed-systems											
Ethereum:A Secure Decentralised Generalised Transaction Ledger	https://gavwood.com/paper.pdf	papers	blockchain	cryptocurrency	distributed-systems											
The Elements of Statistical Learning	https://web.stanford.edu/~hastie/Papers/ESLII.pdf	textbooks	machine-learning	data-mining	algorithms	statistics										
The space complexity of approximating the frequency moments	http://www.cs.princeton.edu/courses/archive/spring04/cos598B/bib/alonMS.pdf	papers	algorithms	big-data												
Near-Optimal Hashing Algorithms for Approximate Nearest Neighbor in High Dimensions	http://pages.di.unipi.it/ferragina/dott2014/lsh.pdf	papers	algorithms	big-data												
An Improved Data Stream Summary: The Count-Min Sketch and its Applications	http://dimacs.rutgers.edu/~graham/pubs/papers/cm-full.pdf	papers	algorithms	big-data												
Data Scientist: The Sexiest Job of the 21st Century	https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century	readings	data-science													
Resilient Distributed Datasets: A Fault-Tolerant Abstraction for In-Memory Cluster Computing	https://www.usenix.org/system/files/conference/nsdi12/nsdi12-final138.pdf	papers	algorithms	distributed-systems	big-data											
An overview of gradient descent optimization algorithms	https://arxiv.org/abs/1609.04747	papers	machine-learning	optimization	algorithms											
Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Big Data	https://becominghuman.ai/cheat-sheets-for-ai-neural-networks-machine-learning-deep-learning-big-data-678c51b4b463	readings	neural-networks	artificial-intelligence	big-data	machine-learning	deep-learning	cheatsheets								
K-means Clustering via Principal Component Analysis	http://ranger.uta.edu/~chqding/papers/KmeansPCA1.pdf	readings	machine-learning													
Playing Atari with Deep Reinforcement Learning	https://arxiv.org/pdf/1312.5602.pdf	papers	reinforcement-learning	deep-learning												
The curse of highly variable functions for local kernel machines	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.509.9760&rep=rep1&type=pdf	papers	machine-learning													
Godel's Proof	http://calculemus.org/cafe-aleph/raclog-arch/nagel-newman.pdf	books	logic	mathematics												
Chance and Necessity	https://monoskop.org/images/9/99/Monod_Jacques_Chance_and_Necessity.pdf	books	philosophy	physics												
The Tao of Physics	http://hinduonline.co/DigitalLibrary/SmallBooks/TheTaoofPhysicsEng.pdf	books	philosophy	physics												
Introduction to Algorithms	https://mcdtu.files.wordpress.com/2017/03/introduction-to-algorithms-3rd-edition-sep-2010.pdf	textbooks	algorithms													
Probabilistic Graphical Model - principles and techniques	https://github.com/Zhenye-Na/cs446/raw/master/docs/Probabilistic%20Graphical%20Models%20-%20Principles%20and%20Techniques.pdf	textbooks	machine-learning													
On Growth and Form	http://www.gutenberg.org/files/55264/55264-h/55264-h.htm	books	mathematics													
Colah's blog	http://colah.github.io/	blogs	deep-learning	machine-learning	natural-language-processing											
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems	https://arxiv.org/abs/1603.04467	papers	machine-learning													
Who invented the great numerical algorithms?	https://people.maths.ox.ac.uk/trefethen/inventorstalk.pdf	readings	mathematics	computer-science	algorithms	numerical-analysis										
Generating Text with Recurrent Neural Networks	https://www.cs.utoronto.ca/~ilya/pubs/2011/LANG-RNN.pdf	papers	machine-learning	neural-networks	deep-learning	recurrent-neural-networks	natural-language-processing									
A Neural Probabilistic Language Model	http://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf	papers	machine-learning	neural-networks	deep-learning	natural-language-processing										
On the difficulty of training recurrent neural networks	http://proceedings.mlr.press/v28/pascanu13.pdf	papers	deep-learning	recurrent-neural-networks												
Long Short-Term Memory	http://www.bioinf.jku.at/publications/older/2604.pdf	papers	deep-learning	recurrent-neural-networks												
LSTM: A Search Space Odyssey	https://arxiv.org/pdf/1503.04069.pdf	papers	deep-learning	recurrent-neural-networks												
Learning to Forget: Continual Prediction with LSTM	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.5709&rep=rep1&type=pdf	papers	deep-learning	recurrent-neural-networks												
Neural Turing Machines	https://arxiv.org/pdf/1410.5401v2.pdf	papers	deep-learning	recurrent-neural-networks												
Understanding the difficulty of training deep feedforward neural networks	http://proceedings.mlr.press/v9/glorot10a/glorot10a.pdf	papers	deep-learning	neural-networks												
A visual proof that neural nets can compute any function	http://neuralnetworksanddeeplearning.com/chap4.html	readings	neural-networks	universal-approximator												
Natural Language Understanding: Instructions for (Present and Future) Use	https://www.ijcai.org/proceedings/2018/0812.pdf	papers	natural-language-processing	artificial-intelligence												
Research Debt	https://doi.org/10.23915/distill.00005	readings	research													
Unit Tests for Stochastic Optimization	https://arxiv.org/abs/1312.6055	papers	deep-learning	machine-learning	optimization											
Large Scale Distributed Deep Networks	https://storage.googleapis.com/pub-tools-public-publication-data/pdf/40565.pdf	papers	deep-learning	machine-learning	distributed-systems											
Understanding the exploding gradient problem	https://pdfs.semanticscholar.org/728d/814b92a9d2c6118159bb7d9a4b3dc5eeaaeb.pdf?_ga=2.94420316.1335437211.1535822695-576454561.1535822695	papers	deep-learning	machine-learning												
Word representations: A simple and general method for semi-supervised learning	https://www.aclweb.org/anthology/P10-1040	papers	natural-language-processing	machine-learning	distributional-semantics											
Natural Language Processing (almost) from Scratch	https://arxiv.org/pdf/1103.0398.pdf	papers	natural-language-processing	neural-networks												
GloVe: Global Vectors for Word Representation	https://www.aclweb.org/anthology/D14-1162	papers	natural-language-processing	distributional-semantics												
Visualizing Data using t-SNE	https://lvdmaaten.github.io/publications/papers/JMLR_2008.pdf	papers	machine-learning													
ImageNet Classification with Deep Convolutional Neural Networks	http://www.cs.toronto.edu/~fritz/absps/imagenet.pdf	papers	deep-learning	convolutional-neural-networks												
Practical Recommendations for Gradient-Based Training of Deep Architectures	https://arxiv.org/pdf/1206.5533v2.pdf	papers	deep-learning	optimization												
Advances in Optimizing Recurrent Networks	https://arxiv.org/pdf/1212.0901v2.pdf	papers	deep-learning	recurrent-neural-networks	optimization											
Training Recurrent Neural Networks	http://www.cs.utoronto.ca/~ilya/pubs/ilya_sutskever_phd_thesis.pdf	thesis	deep-learning	recurrent-neural-networks	optimization											
Don’t count, predict! A systematic comparison of context-counting vs. context-predicting semantic vectors	http://clic.cimec.unitn.it/marco/publications/acl2014/baroni-etal-countpredict-acl2014.pdf	papers	natural-language-processing	distributional-semantics												
Demonstration of k-means assumptions	http://scikit-learn.org/stable/auto_examples/cluster/plot_kmeans_assumptions.html	websites	machine-learning													
Dropout: A Simple Way to Prevent Neural Networks from Overfitting	http://www.cs.toronto.edu/~rsalakhu/papers/srivastava14a.pdf	papers	neural-networks	deep-learning	machine-learning	optimization										
Dropout Training as Adaptive Regularization	http://papers.nips.cc/paper/4882-dropout-training-as-adaptive-regularization.pdf	papers	neural-networks	deep-learning	machine-learning	optimization										
